"sourceUrl","anchor","title","kind","releasedRaw","modelNumberRaw","batteryRequirementRaw","rangeRaw","ammoRaw","accessoryPortsRaw","setNamesRaw","contentsRaw","originalPriceRaw","notesRaw"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","elsgamesystem","ELS Game System","set","1998","80711","3 AA's",,,,,"1 ELS Computer and 2 ELS Adapter s(1 Blue and 1 Red)","$49.99","This set is the basic begining to the V2 ELS System. ELS Game System Box with Components laserchallenge_v2_elscomputer.pdf (1796KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","firestorm","Firestorm","gear","1998","80613","6 AA's (take out front 3 to disable recoil)","1000 ft.","25",,,,"$29.99","This is one of the best Laser Challenge guns out there. With an insane range on firing, it takes a while to learn how to aim this beast correctly. It contains a scope that assists you in aiming. Omega was constructed out of a Firestorm. Firestorm laserchallenge_v2_firestorm.pdf (1643 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","sologear","Solo Gear","set","1998",,"6 AA's",,,,,"1 V2 Vest and 1 V2 Pistol","$24.99","The set for one person. laserchallenge_v2_set.pdf (1448 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","twingear","Twin Gear","set","1998",,"12 AA's",,,,,"2 V2 Vest s and 2 V2 Pistol s","$49.99","I think this set was more common then the Solo Gear. Twin Gear Box Twin Gear Purple Box and Components Twin Gear Red Box and Components laserchallenge_v2_set.pdf (1448 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","ultrawide","Ultrawide","gear","1998","80614","3 AA's","350 ft./Max spread 50 ft. wide","25 Normal/1 shot every 5 seconds on Ultrawide",,"Ultrawide Blaster Set",,"$29.99","This is a nice rifle style gun. It has a nice aiming scope and is very easy to aim. You can also activate Ultrawide mode, which spreads the barrels and gives you a small area that you can hit people. This mode is hard to use and normal mode is preferred by most. Ultrawide laserchallenge_v2_ultrawide.pdf (1654 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","ultrawideblasterset","Ultrawide Blaster Set","set","1998",,"--None--",,,,,"1 V2 Vest and 1 Ultrawide","$24.99","This is a good set if you want to use a rifle instead of a pistol. Ultrawide Blaster Set Box and Components"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","v2pistol","V2 Pistol","gear","1998",,"3 AA's","350 ft","25",,"Solo Gear and Twin Gear",,,"This is a very nice pistol. Easy to hold and aim, usually you can fire two of these at once and get some nice hits in. V2 Pistol (Purple) V2 Pistol (Red) laserchallenge_v2_set.pdf (1448 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","v2vest","V2 Vest","gear","1998",,"3 AA's",,,"1","Solo Gear , Twin Gear , and Ultrawide Blaster Set",,,"The V2 Vests are nice in that they take hits quickly (10 hits in about 6 seconds) and they have elastic bands to keep them positioned properly. The back vest is hard wired to the front vest, and the port on the front vest is for the ELS system. There is a 9th hit sound which gives you about 3 seconds, and a 10th hit sound which makes it known you are dead. V2 Vest (Purple) V2 Vest (Red) laserchallenge_v2_set.pdf (1448 KB)"
"https://khanjal.com/lasertag/gear_lasercommand.html","laserattackset","Laser Attack Set","set","1997",,"?",,,,,"1 Laser Command/Attack Pistol and 1 Laser Command/Attack Vest","$?","This was a re-release of the Laser Command set. Laser Attack Box"
"https://khanjal.com/lasertag/gear_lasercommand.html","lasercommandhat","Laser Command Hat","gear","1998",,"--None--",,,,,,"$?","Neat idea, I want a Laser Challenge hat though :). Black Hat Cammo Hat"
"https://khanjal.com/lasertag/gear_lasercommand.html","lasercommandset","Laser Command Set","set","1997",,"?",,,,,"1 Laser Command/Attack Pistol and 1 Laser Command/Attack Vest","$?","The basic one person set. Laser Command Box Laser Command Box with Components"
"https://khanjal.com/lasertag/gear_lasercommand.html","lasercommandstealthatomizer","Laser Command Stealth Atomizer","gear","1998",,"2 AA's","200 ft.","5 Semi-Automatic/15 Full Automatic",,,,"$12.99","I personally have one of these and I love it. It has a very nice rifle feel, and has single/rapid fire options. I think this is a must get item if you use Laser Challenge gear. Laser Command Stealth Atomizer lasercommand_stealthatomizer.pdf (631 KB)"
"https://khanjal.com/lasertag/gear_lasercommand.html","lasercommandvestadvanced","Laser Command Vest - Advanced","gear","1998",,"?",,,,,,,"This vest comes with a back vest. A very wise idea. Laser Command Advanced Vest (Black) Laser Command Advanced Vest (Cammo)"
"https://khanjal.com/lasertag/gear_lasercommand.html","lasercommand/attackpistol","Laser Command/Attack Pistol","gear","1997",,"2 AA's","100 ft.","5",,"Laser Attack Set and Laser Command Set",,,"This is a nice short range gun. Laser Command Pistol"
"https://khanjal.com/lasertag/gear_lasercommand.html","lasercommand/attackvest","Laser Command/Attack Vest","gear","1997",,"?",,,,"Laser Attack Set and Laser Command Set",,,"This vest takes hits about the same speed as a V2 Vest , but doesn't allow a sensor to added. You can hardwire a Laser Challenge Back Vest to it if you have the knowledge."
"https://khanjal.com/lasertag/gear_quickshot.html","lazerpistol","Lazer Pistol","gear","1990",,"4 AA's","100 ft.","Unlimited",,"Quick Shot Set",,,"The pistol comes with a scope and a shoulder rest. The sensor can also be attached to the pistol, probably adding limited hits to it. I was unable to test this with another due to having only one set at my disposal."
"https://khanjal.com/lasertag/gear_quickshot.html","electronictarget","Lock-On","gear","1990",,"4 AA's",,,,"Quick Shot Set",,,"This allows the sensor to be plugged into it and it can receive unlimited hits. When it is hit it has a falling bomb effect. It can be strapped to your body or cliped. Looks like you would mainly use this for target practice."
"https://khanjal.com/lasertag/gear_quickshot.html","quickshotset","Quick Shot Set","set","1990","QS2040","8 AA's",,,,,"1 Lazer Pistol , 1 Electronic Target , and 1 Sensor","$?","This set is the only set that I know for this gear. I wish I had access to two to test them out further. Quick Shot Set Quick Shot Set"
"https://khanjal.com/lasertag/gear_quickshot.html","sensor","Sensor","gear","1990",,"--None--",,,,"Quick Shot Set",,,"The sensor plugs into either the Electronic Target or Lazer Pistol, allowing either to be shot."
"https://khanjal.com/lasertag/gear_segalockon.html","segalockon","Lock-On","gear","1980",,"1 9-Volt and 2 C's","350 ft.","Single/Rapid fire(5 shots/sec), 10 high powered shots",,,,"$?","So far this gear is only available over seas. It has a lot of neat features. The headset has a visor that displays your hit points in a 7 segment LED. The visor can be rotated at will. The two triggers sound neat. The main one is in the usual place. If held, it produces a rapid fire effect (5 shots/sec). The second button is a 3 hit per one shot. It is called the High Power Shot (kind of like the Max Blast button on the Laser Challenge Gear, but you get 10 instead of 3 and you have 6 sec to shoot it before you loose it). The vest has 9 hits instead of 10 like LC. The team switches are neat. You decide between two teams. If you want to be on team A, you set the switch to it and turn on your gun. You do the same for team B. SEGA Lock-On SEGA Lock-On Gun Diagram SEGA Lock-On Head Sensor Diagram"
"https://khanjal.com/lasertag/gear_segalockon.html","segalockon2","Lock-On 2","gear","1985",,"4 AA's and 2 C's","350 ft.","Single/Rapid fire(5 shots/sec), 10 high powered shots",,,,"$?","This unit is slightly shorter and a little thicker than the original. The two are fully compatible. The Hi Power Shot is a little bit harder to press. The headset is more compact which makes it sit to one side of your head. A bit ackward because it is thicker and has a more definate square shape to it. SEGA Lock-On 2"
"https://khanjal.com/lasertag/gear_voicecommandlockon.html","voicecommandlockon","Voice Command Lock-On","gear","1990",,"4 AA's and 2 C's","?","?",,,,"$?","Not much is known about this Lock-On. It seems to have been released mainly in Japan. I found a small section on a message board posted by Peter : It has 3 modes Voice command Without Voice commands Original The voice command instructions are complicated and it does not work well in reality you can still use the gear without the annoying temperamental voice commands To turn on the gun hold down the display button (square) and the mode button (round) at the same time while turning the gun to either Team A or B The gun will say Full Power (equals 100 hit points) You get 50 shots in blast mode before a 5 second automatic reload cycle starts. During the reload you may not shoot, but you may be tagged. You get 25 shots in hyper mode before reloading Change modes by pressing the mode button In Blast mode you do 6 points each hit In hyper mode you do 12 points each hit to a target in blast mode, but 20 points to a target who is also in hyper mode In other words if all players are in blast mode it takes 17 hits to take out an opponent but with everyone in Hyper mode it only take 5 hits to eliminate a target There is also a destroy mode that becomes available after you get shot down to 40 points or less. It allows you to do 40 points of damage to your target in one shot, but then your gun goes through the 5 second reload feature. Basically it is a desperate feature and not very useful To active the original game features hold down the display button while turning the on switch to team A or B The gun will count up to 9 hit points and count down to 0 with each tag unlimited ammo, no reload cycle the Mode button becomes a ""triple shot"" button. you get a maximum of 10 triple shots. once you press the button the gun beep quickly for 6 seconds. If the gun is not fired before the 6 seconds is up the grenade is ""lost"" Oh yeah, the guns beep constantly and can not be stopped. If you hold the trigger down it will be quieted to a ""click"" sound. You are limited to team A vs. team B games and can not play everyman for himself type games you can not shot your self or team mates the Lock on feature lets you scan the woods and the target gun will beep loudly when you are aiming at it (this would be a good time to pull the trigger, or if you are the target that is beeping, DUCK! Voice Command Lock-On"
